vathmos,erwtisi,timi
Περισσότερο,Αφιερώνετε χρόνο<br>στην οικογένεια,64.4
Περισσότερο,"Βλέπετε τηλεόραση,<br>ταινίες",56.8
Περισσότερο,Κάνετε δουλειές<br>του σπιτιού,52.8
Περισσότερο,Χρησιµοποιείτε το<br>internet/social media,47.1
Περισσότερο,Μαγειρεύετε,43.8
Περισσότερο,∆ιαβάζετε βιβλία,36.1
Περισσότερο,Παιζετε παιχνίδια,31.2
Περισσότερο,Κάνετε γυµναστική,24
Περισσότερο,∆ουλεύετε για τη<br>δουλειά σας,11.7
Το ίδιο με πριν,Αφιερώνετε χρόνο<br>στην οικογένεια,28.5
Το ίδιο με πριν,"Βλέπετε τηλεόραση,<br>ταινίες",33.1
Το ίδιο με πριν,Κάνετε δουλειές<br>του σπιτιού,41.2
Το ίδιο με πριν,Χρησιµοποιείτε το<br>internet/social media,43.2
Το ίδιο με πριν,Μαγειρεύετε,49.6
Το ίδιο με πριν,∆ιαβάζετε βιβλία,48.1
Το ίδιο με πριν,Παιζετε παιχνίδια,46.4
Το ίδιο με πριν,Κάνετε γυµναστική,44.2
Το ίδιο με πριν,∆ουλεύετε για τη<br>δουλειά σας,41.4
Λιγότερο,Αφιερώνετε χρόνο<br>στην οικογένεια,6.3
Λιγότερο,"Βλέπετε τηλεόραση,<br>ταινίες",9.6
Λιγότερο,Κάνετε δουλειές<br>του σπιτιού,5.9
Λιγότερο,Χρησιµοποιείτε το<br>internet/social media,7
Λιγότερο,Μαγειρεύετε,6
Λιγότερο,∆ιαβάζετε βιβλία,15
Λιγότερο,Παιζετε παιχνίδια,18.6
Λιγότερο,Κάνετε γυµναστική,30.6
Λιγότερο,∆ουλεύετε για τη<br>δουλειά σας,36.6
ΔΓ/ΔΑ,Αφιερώνετε χρόνο<br>στην οικογένεια,0.8
ΔΓ/ΔΑ,"Βλέπετε τηλεόραση,<br>ταινίες",0.5
ΔΓ/ΔΑ,Κάνετε δουλειές<br>του σπιτιού,0.1
ΔΓ/ΔΑ,Χρησιµοποιείτε το<br>internet/social media,2.7
ΔΓ/ΔΑ,Μαγειρεύετε,0.7
ΔΓ/ΔΑ,∆ιαβάζετε βιβλία,0.7
ΔΓ/ΔΑ,Παιζετε παιχνίδια,3.8
ΔΓ/ΔΑ,Κάνετε γυµναστική,1.2
ΔΓ/ΔΑ,∆ουλεύετε για τη<br>δουλειά σας,10.4
