apantisi,timi,date
Ιστοσελίδες/Κοινωνικά δίκτυα,33,Apr-20
Τηλεόραση,49,Apr-20
Προσωπικοί ιατροί,9,Apr-20
Εφημερίδες,2,Apr-20
Οικογένεια/Φίλοι,3,Apr-20
Ραδιόφωνο,4,Apr-20
Ιστοσελίδες/Κοινωνικά δίκτυα,44,Sep-20
Τηλεόραση,39,Sep-20
Προσωπικοί ιατροί,7,Sep-20
Εφημερίδες,4,Sep-20
Οικογένεια/Φίλοι,2,Sep-20
Ραδιόφωνο,2,Sep-20
Άλλη,1,Sep-20
Δεν ενημερώνομαι,1,Sep-20
Ιστοσελίδες/Κοινωνικά δίκτυα,44,Dec-20
Τηλεόραση,37,Dec-20
Προσωπικοί ιατροί,9,Dec-20
Εφημερίδες,3,Dec-20
Οικογένεια/Φίλοι,3,Dec-20
Ραδιόφωνο,1,Dec-20
Άλλη,1,Dec-20
Δεν ενημερώνομαι,1,Dec-20
Ιστοσελίδες/Κοινωνικά δίκτυα,42,Jan-21
Τηλεόραση,32,Jan-21
Προσωπικοί ιατροί,11,Jan-21
Εφημερίδες,5,Jan-21
Οικογένεια/Φίλοι,3,Jan-21
Ραδιόφωνο,2,Jan-21
Άλλη,2,Jan-21
Δεν ενημερώνομαι,2,Jan-21
