vathmos,erwtisi,date,timi
Περισσότερο,Τρώτε σε εστιατόρια και ταβέρνες,Sep-20,0.4
Περισσότερο,Ψωνίζετε σε εμπορικά καταστήματα,Sep-20,1.1
Περισσότερο,Διασκεδάζετε σε μπαρ,Sep-20,0.1
Περισσότερο,Πηγαίνετε σε κοινωνικές εκδηλώσεις,Sep-20,0.6
Περισσότερο,Συναντάτε φίλους,Sep-20,2.8
Περισσότερο,Ταξιδεύετε αεροπορικώς,Sep-20,0.4
Περισσότερο,Ταξιδεύετε με πλοίο,Sep-20,1.3
Περισσότερο,Βλέπετε μέλη της οικογένειάς σας,Sep-20,6.5
Περισσότερο,Χρησιμοποιείτε Μέσα Μαζικής Μεταφοράς,Sep-20,0.7
Περισσότερο,Χρησιμοποιείτε ταξί,Sep-20,5.1
Περισσότερο,Τρώτε σε εστιατόρια και ταβέρνες,Mar-21,0.1
Περισσότερο,Ψωνίζετε σε εμπορικά καταστήματα,Mar-21,1
Περισσότερο,Διασκεδάζετε σε μπαρ,Mar-21,0.1
Περισσότερο,Πηγαίνετε σε κοινωνικές εκδηλώσεις,Mar-21,0.2
Περισσότερο,Συναντάτε φίλους,Mar-21,2.6
Περισσότερο,Ταξιδεύετε αεροπορικώς,Mar-21,0.4
Περισσότερο,Ταξιδεύετε με πλοίο,Mar-21,0.4
Περισσότερο,Βλέπετε μέλη της οικογένειάς σας,Mar-21,10.8
Περισσότερο,Χρησιμοποιείτε Μέσα Μαζικής Μεταφοράς,Mar-21,0.3
Περισσότερο,Χρησιμοποιείτε ταξί,Mar-21,4.6
Το ίδιο με πριν,Τρώτε σε εστιατόρια και ταβέρνες,Sep-20,36.3
Το ίδιο με πριν,Ψωνίζετε σε εμπορικά καταστήματα,Sep-20,44.5
Το ίδιο με πριν,Διασκεδάζετε σε μπαρ,Sep-20,38
Το ίδιο με πριν,Πηγαίνετε σε κοινωνικές εκδηλώσεις,Sep-20,22
Το ίδιο με πριν,Συναντάτε φίλους,Sep-20,41.1
Το ίδιο με πριν,Ταξιδεύετε αεροπορικώς,Sep-20,38.3
Το ίδιο με πριν,Ταξιδεύετε με πλοίο,Sep-20,43.9
Το ίδιο με πριν,Βλέπετε μέλη της οικογένειάς σας,Sep-20,64.4
Το ίδιο με πριν,Χρησιμοποιείτε Μέσα Μαζικής Μεταφοράς,Sep-20,46.4
Το ίδιο με πριν,Χρησιμοποιείτε ταξί,Sep-20,53.1
Το ίδιο με πριν,Τρώτε σε εστιατόρια και ταβέρνες,Mar-21,5.2
Το ίδιο με πριν,Ψωνίζετε σε εμπορικά καταστήματα,Mar-21,8.3
Το ίδιο με πριν,Διασκεδάζετε σε μπαρ,Mar-21,8.8
Το ίδιο με πριν,Πηγαίνετε σε κοινωνικές εκδηλώσεις,Mar-21,10.7
Το ίδιο με πριν,Συναντάτε φίλους,Mar-21,10.1
Το ίδιο με πριν,Ταξιδεύετε αεροπορικώς,Mar-21,30.1
Το ίδιο με πριν,Ταξιδεύετε με πλοίο,Mar-21,30.6
Το ίδιο με πριν,Βλέπετε μέλη της οικογένειάς σας,Mar-21,28.3
Το ίδιο με πριν,Χρησιμοποιείτε Μέσα Μαζικής Μεταφοράς,Mar-21,39.2
Το ίδιο με πριν,Χρησιμοποιείτε ταξί,Mar-21,47.6
Λιγότερο,Τρώτε σε εστιατόρια και ταβέρνες,Sep-20,62.9
Λιγότερο,Ψωνίζετε σε εμπορικά καταστήματα,Sep-20,54.3
Λιγότερο,Διασκεδάζετε σε μπαρ,Sep-20,60.5
Λιγότερο,Πηγαίνετε σε κοινωνικές εκδηλώσεις,Sep-20,76.3
Λιγότερο,Συναντάτε φίλους,Sep-20,56
Λιγότερο,Ταξιδεύετε αεροπορικώς,Sep-20,59.5
Λιγότερο,Ταξιδεύετε με πλοίο,Sep-20,53.8
Λιγότερο,Βλέπετε μέλη της οικογένειάς σας,Sep-20,28.9
Λιγότερο,Χρησιμοποιείτε Μέσα Μαζικής Μεταφοράς,Sep-20,51.3
Λιγότερο,Χρησιμοποιείτε ταξί,Sep-20,39.8
Λιγότερο,Τρώτε σε εστιατόρια και ταβέρνες,Mar-21,93.8
Λιγότερο,Ψωνίζετε σε εμπορικά καταστήματα,Mar-21,90
Λιγότερο,Διασκεδάζετε σε μπαρ,Mar-21,89.9
Λιγότερο,Πηγαίνετε σε κοινωνικές εκδηλώσεις,Mar-21,88.1
Λιγότερο,Συναντάτε φίλους,Mar-21,86.7
Λιγότερο,Ταξιδεύετε αεροπορικώς,Mar-21,68.2
Λιγότερο,Ταξιδεύετε με πλοίο,Mar-21,67.8
Λιγότερο,Βλέπετε μέλη της οικογένειάς σας,Mar-21,60.9
Λιγότερο,Χρησιμοποιείτε Μέσα Μαζικής Μεταφοράς,Mar-21,59.4
Λιγότερο,Χρησιμοποιείτε ταξί,Mar-21,46.4
